activity_id,rep_id,hcp_id,account_id,date_id,activity_type,status,time_of_day,duration_min
40,1,1000000009,1005,20241003,call,cancelled,14:00,36
41,1,1000000014,1000,20241004,call,completed,17:45,35
42,1,1000000025,1000,20241007,call,completed,10:30,29
43,1,1000000016,1001,20241008,call,cancelled,17:15,37
44,1,1000000006,1004,20241008,call,completed,09:15,41
45,1,1000000004,1002,20241010,lunch_meeting,cancelled,12:30,73
46,1,1000000016,1003,20241011,lunch_meeting,completed,12:15,89
47,1,1000000017,1002,20241014,call,completed,14:30,44
48,1,1000000026,1004,20241014,call,completed,12:45,42
49,1,1000000018,1007,20241016,lunch_meeting,completed,13:15,74
50,1,1000000028,1003,20241017,call,completed,11:45,16
51,1,1000000024,1007,20241018,lunch_meeting,completed,13:30,64
52,1,1000000002,1002,20241021,lunch_meeting,cancelled,12:00,76
53,1,1000000001,1002,20241022,lunch_meeting,cancelled,11:00,75
54,1,1000000011,1006,20241023,call,cancelled,16:45,45
55,1,1000000021,1007,20241024,call,completed,11:30,22
56,1,1000000004,1001,20241028,lunch_meeting,completed,12:00,61
57,1,1000000026,1000,20241029,lunch_meeting,completed,12:15,67
58,1,1000000014,1002,20241030,call,completed,17:45,34
59,1,1000000022,1003,20241030,lunch_meeting,cancelled,11:15,74
60,1,1000000009,1007,20241031,lunch_meeting,completed,12:30,81
61,1,1000000018,1002,20241031,call,completed,13:30,35
62,1,1000000023,1004,20241101,lunch_meeting,completed,11:45,87
63,1,1000000004,1003,20241104,lunch_meeting,completed,13:15,82
64,1,1000000001,1006,20241105,lunch_meeting,completed,13:30,61
65,1,1000000024,1007,20241106,lunch_meeting,completed,11:30,67
66,1,1000000021,1003,20241106,lunch_meeting,completed,13:30,81
67,1,1000000021,1000,20241111,lunch_meeting,completed,11:30,83
68,1,1000000005,1001,20241111,lunch_meeting,completed,12:15,66
69,1,1000000029,1005,20241113,lunch_meeting,completed,12:45,90
70,1,1000000026,1004,20241113,lunch_meeting,completed,12:00,64
71,1,1000000028,1005,20241115,call,completed,08:30,32
72,1,1000000012,1004,20241119,lunch_meeting,completed,12:00,81
73,1,1000000001,1005,20241121,call,completed,15:30,35
74,1,1000000004,1002,20241122,call,cancelled,12:45,18
75,1,1000000005,1006,20241127,lunch_meeting,completed,13:30,90
76,1,1000000018,1006,20241127,call,cancelled,09:45,34
77,1,1000000009,1000,20241128,lunch_meeting,completed,12:15,87
78,1,1000000004,1005,20241129,lunch_meeting,completed,12:15,90
79,1,1000000003,1003,20241203,call,completed,13:15,19
80,1,1000000007,1001,20241204,call,completed,11:30,39
81,1,1000000005,1000,20241204,lunch_meeting,cancelled,11:15,77
82,1,1000000026,1002,20241205,call,completed,08:15,15
83,1,1000000026,1003,20241206,lunch_meeting,completed,12:00,64
84,1,1000000014,1001,20241209,call,completed,13:00,29
85,1,1000000017,1003,20241209,call,completed,16:30,29
86,1,1000000001,1000,20241210,lunch_meeting,completed,12:00,75
87,1,1000000023,1007,20241210,call,cancelled,13:15,17
88,1,1000000020,1005,20241212,lunch_meeting,cancelled,13:15,74
89,1,1000000004,1001,20241213,call,completed,11:45,25
90,1,1000000013,1006,20241216,call,completed,13:30,26
91,1,1000000030,1007,20241218,call,completed,09:00,28
92,1,1000000004,1005,20241218,call,completed,17:30,36
93,1,1000000012,1006,20241220,call,cancelled,17:30,26
94,1,1000000017,1003,20241224,call,completed,11:00,26
95,1,1000000028,1005,20241224,call,completed,17:15,40
96,1,1000000028,1000,20241225,lunch_meeting,completed,12:30,89
97,1,1000000012,1000,20241226,call,cancelled,17:45,17
98,1,1000000021,1000,20241230,call,completed,11:45,28
99,1,1000000015,1005,20241230,call,completed,13:00,43
100,1,1000000003,1004,20250106,lunch_meeting,completed,12:45,73
101,1,1000000009,1003,20250106,call,completed,09:30,36
102,1,1000000019,1007,20250107,lunch_meeting,completed,12:00,60
103,1,1000000007,1004,20250107,call,completed,12:30,25
104,1,1000000024,1006,20250110,call,completed,16:15,31
105,1,1000000027,1005,20250113,call,completed,08:45,15
106,1,1000000015,1001,20250113,lunch_meeting,completed,13:15,82
107,1,1000000014,1004,20250114,call,completed,13:15,40
108,1,1000000020,1007,20250114,lunch_meeting,completed,11:15,73
109,1,1000000013,1001,20250115,lunch_meeting,cancelled,13:15,67
110,1,1000000011,1002,20250115,call,completed,09:15,43
111,1,1000000012,1002,20250116,call,completed,12:15,20
112,1,1000000003,1002,20250120,lunch_meeting,completed,13:30,74
113,1,1000000022,1005,20250120,lunch_meeting,completed,11:45,74
114,1,1000000010,1004,20250121,call,completed,09:30,29
115,1,1000000015,1000,20250121,call,completed,12:00,35
116,1,1000000020,1006,20250123,lunch_meeting,completed,13:00,74
117,1,1000000030,1003,20250123,lunch_meeting,completed,13:00,90
118,1,1000000004,1005,20250127,call,completed,10:00,22
119,1,1000000015,1007,20250128,call,completed,12:45,28
120,1,1000000025,1005,20250128,call,completed,13:00,25
121,1,1000000022,1006,20250130,lunch_meeting,completed,13:30,87
122,1,1000000005,1005,20250130,call,completed,10:30,24
123,1,1000000005,1001,20250131,lunch_meeting,completed,13:15,86
124,1,1000000023,1001,20250204,lunch_meeting,completed,11:30,69
125,1,1000000006,1003,20250204,lunch_meeting,cancelled,12:15,67
126,1,1000000028,1001,20250210,call,completed,17:15,34
127,1,1000000005,1002,20250211,call,completed,17:15,38
128,1,1000000002,1006,20250212,lunch_meeting,completed,11:45,79
129,1,1000000025,1007,20250213,call,completed,12:45,43
130,1,1000000022,1007,20250217,lunch_meeting,completed,12:45,90
131,1,1000000005,1004,20250220,call,completed,13:00,37
132,1,1000000028,1001,20250220,lunch_meeting,completed,11:30,74
133,1,1000000003,1003,20250224,lunch_meeting,cancelled,11:45,61
134,1,1000000017,1005,20250225,call,completed,09:30,22
135,1,1000000030,1001,20250227,lunch_meeting,completed,11:00,69
136,1,1000000023,1002,20250228,lunch_meeting,completed,11:00,60
137,1,1000000007,1002,20250303,lunch_meeting,completed,12:15,69
138,1,1000000021,1007,20250307,call,completed,15:00,35
139,1,1000000019,1003,20250310,call,completed,08:30,22
140,1,1000000019,1006,20250310,call,completed,09:30,17
141,1,1000000018,1000,20250311,lunch_meeting,cancelled,11:45,71
142,1,1000000009,1000,20250311,lunch_meeting,completed,12:15,83
143,1,1000000021,1001,20250312,lunch_meeting,completed,12:30,86
144,1,1000000021,1002,20250312,lunch_meeting,cancelled,12:15,85
145,1,1000000025,1007,20250317,call,completed,08:15,43
146,1,1000000002,1005,20250317,lunch_meeting,completed,13:15,68
147,1,1000000007,1004,20250319,lunch_meeting,cancelled,11:30,68
148,1,1000000004,1005,20250319,lunch_meeting,cancelled,13:15,88
149,1,1000000011,1002,20250320,lunch_meeting,completed,12:30,85
150,1,1000000014,1001,20250324,lunch_meeting,completed,11:30,70
151,1,1000000004,1001,20250324,lunch_meeting,completed,12:45,79
152,1,1000000014,1002,20250325,lunch_meeting,completed,11:30,79
153,1,1000000014,1004,20250325,call,completed,14:30,31
154,1,1000000022,1002,20250326,call,completed,17:45,16
155,1,1000000005,1001,20250326,call,completed,13:30,27
156,1,1000000002,1002,20250327,lunch_meeting,cancelled,12:45,84
157,1,1000000003,1002,20250327,lunch_meeting,completed,13:15,67
158,1,1000000006,1007,20250401,lunch_meeting,cancelled,11:30,84
159,1,1000000009,1007,20250401,call,cancelled,12:45,21
160,1,1000000006,1007,20250407,call,completed,13:30,37
161,1,1000000018,1004,20250409,lunch_meeting,cancelled,13:30,89
162,1,1000000023,1002,20250409,lunch_meeting,completed,11:15,85
163,1,1000000001,1005,20250414,lunch_meeting,completed,13:00,79
164,1,1000000013,1007,20250417,lunch_meeting,completed,13:00,64
165,1,1000000021,1001,20250418,lunch_meeting,completed,13:15,64
166,1,1000000021,1002,20250421,call,completed,08:00,31
167,1,1000000005,1004,20250421,call,completed,11:30,45
168,1,1000000029,1004,20250422,call,completed,16:30,19
169,1,1000000021,1004,20250422,call,completed,10:15,20
170,1,1000000020,1005,20250423,call,completed,08:00,16
171,1,1000000021,1004,20250423,call,completed,14:00,30
172,1,1000000018,1004,20250424,lunch_meeting,completed,13:15,69
173,1,1000000015,1001,20250424,call,completed,14:45,29
174,1,1000000020,1002,20250428,lunch_meeting,cancelled,12:30,72
175,1,1000000017,1001,20250430,lunch_meeting,completed,11:30,74
176,1,1000000013,1006,20250507,call,cancelled,10:30,44
177,1,1000000024,1005,20250508,call,completed,15:45,30
178,1,1000000029,1004,20250508,lunch_meeting,completed,12:45,90
179,1,1000000012,1000,20250513,call,completed,17:45,24
180,1,1000000018,1000,20250513,call,completed,12:30,39
181,1,1000000012,1000,20250514,lunch_meeting,completed,13:00,71
182,1,1000000010,1001,20250515,lunch_meeting,completed,13:15,86
183,1,1000000020,1001,20250515,call,cancelled,14:30,40
184,1,1000000018,1005,20250516,call,completed,16:45,31
185,1,1000000026,1007,20250523,lunch_meeting,completed,13:00,70
186,1,1000000011,1002,20250526,lunch_meeting,cancelled,13:15,78
187,1,1000000011,1007,20250526,lunch_meeting,completed,11:30,70
188,1,1000000004,1006,20250527,lunch_meeting,completed,13:30,80
189,1,1000000001,1007,20250527,lunch_meeting,cancelled,13:30,67
190,1,1000000002,1007,20250528,call,completed,17:45,19
191,1,1000000027,1003,20250528,call,completed,09:15,15
192,1,1000000011,1006,20250529,call,completed,11:45,31
193,1,1000000028,1000,20250530,call,completed,16:30,36
194,1,1000000017,1006,20250602,lunch_meeting,cancelled,12:30,77
195,1,1000000022,1004,20250603,lunch_meeting,completed,11:30,77
196,1,1000000008,1004,20250604,lunch_meeting,completed,13:30,75
197,1,1000000016,1005,20250605,lunch_meeting,completed,13:30,77
198,1,1000000029,1006,20250606,lunch_meeting,cancelled,11:30,61
199,1,1000000023,1001,20250609,lunch_meeting,cancelled,13:15,83
200,1,1000000007,1003,20250610,lunch_meeting,cancelled,13:15,64
201,1,1000000024,1003,20250612,call,completed,16:15,35
202,1,1000000008,1000,20250612,call,completed,15:00,36
203,1,1000000030,1002,20250617,lunch_meeting,completed,12:45,80
204,1,1000000007,1004,20250617,lunch_meeting,completed,11:00,80
205,1,1000000008,1000,20250618,call,completed,10:00,41
206,1,1000000013,1007,20250618,call,cancelled,12:00,15
207,1,1000000019,1001,20250619,lunch_meeting,completed,13:30,76
208,1,1000000029,1002,20250620,lunch_meeting,completed,11:30,65
209,1,1000000015,1004,20250623,call,completed,13:30,33
210,1,1000000022,1003,20250623,call,completed,14:45,31
211,1,1000000003,1006,20250624,call,completed,10:45,25
212,1,1000000013,1003,20250627,lunch_meeting,completed,12:30,78
213,1,1000000019,1000,20250630,lunch_meeting,completed,13:00,61
214,1,1000000022,1001,20250630,lunch_meeting,completed,12:30,82
215,1,1000000030,1004,20250702,lunch_meeting,completed,11:15,75
216,1,1000000005,1007,20250702,lunch_meeting,completed,13:15,84
217,1,1000000026,1003,20250703,call,completed,17:00,31
218,1,1000000015,1005,20250703,call,cancelled,09:00,41
219,1,1000000018,1002,20250707,call,completed,16:45,18
220,1,1000000022,1003,20250707,lunch_meeting,completed,13:15,85
221,1,1000000005,1006,20250709,lunch_meeting,completed,13:15,81
222,1,1000000024,1000,20250710,lunch_meeting,completed,11:15,78
223,1,1000000012,1001,20250715,call,cancelled,09:45,16
224,1,1000000014,1002,20250716,call,completed,14:30,43
225,1,1000000015,1006,20250717,lunch_meeting,completed,13:30,64
226,1,1000000004,1002,20250718,lunch_meeting,completed,13:00,86
227,1,1000000015,1006,20250723,lunch_meeting,completed,11:45,71
228,1,1000000007,1001,20250725,call,completed,14:00,22
229,1,1000000002,1007,20250731,call,completed,08:45,29
230,1,1000000008,1003,20250731,call,completed,12:15,41
231,1,1000000019,1005,20250801,call,completed,10:15,28
232,1,1000000009,1000,20250804,call,completed,14:45,16
233,1,1000000021,1006,20250805,lunch_meeting,completed,12:15,69
234,1,1000000006,1007,20250806,call,completed,12:15,40
235,1,1000000030,1000,20250807,lunch_meeting,scheduled,12:15,72
236,1,1000000007,1005,20250811,call,scheduled,15:30,17
237,1,1000000024,1003,20250812,call,scheduled,12:45,36
238,1,1000000020,1000,20250812,call,scheduled,11:15,30
239,1,1000000010,1000,20250814,call,scheduled,11:00,38
240,1,1000000030,1003,20250815,call,scheduled,14:15,32
241,1,1000000025,1004,20250818,lunch_meeting,scheduled,12:30,69
242,1,1000000012,1007,20250819,lunch_meeting,scheduled,11:45,84
243,1,1000000030,1003,20250820,lunch_meeting,scheduled,12:45,61
244,1,1000000028,1003,20250821,call,scheduled,08:30,32
245,1,1000000030,1006,20250821,lunch_meeting,scheduled,11:15,70
246,1,1000000019,1003,20250825,lunch_meeting,scheduled,13:30,90
247,1,1000000011,1004,20250826,lunch_meeting,scheduled,13:30,83
248,1,1000000016,1007,20250826,call,scheduled,13:15,19
249,1,1000000018,1007,20250827,call,scheduled,16:00,31
250,1,1000000002,1001,20250827,call,scheduled,08:45,19
251,1,1000000008,1001,20250828,call,scheduled,08:15,31
252,1,1000000015,1005,20250828,call,scheduled,17:45,36
253,1,1000000001,1000,20250829,lunch_meeting,scheduled,11:00,76
254,1,1000000009,1004,20250901,call,scheduled,16:45,40
255,1,1000000030,1002,20250901,call,scheduled,09:15,22
256,1,1000000017,1004,20250903,lunch_meeting,scheduled,12:45,62
257,1,1000000012,1006,20250903,lunch_meeting,scheduled,13:00,82
258,1,1000000022,1001,20250905,call,scheduled,09:45,27
259,1,1000000018,1007,20250908,call,scheduled,08:15,17
260,1,1000000028,1006,20250909,lunch_meeting,scheduled,13:00,88
261,1,1000000030,1000,20250910,call,scheduled,11:45,23
262,1,1000000002,1001,20250910,lunch_meeting,scheduled,13:30,81
263,1,1000000001,1003,20250915,call,scheduled,14:00,24
264,1,1000000008,1006,20250917,lunch_meeting,scheduled,12:15,85
265,1,1000000023,1001,20250917,lunch_meeting,scheduled,11:00,73
266,1,1000000020,1006,20250922,lunch_meeting,scheduled,11:30,85
267,1,1000000016,1003,20250923,lunch_meeting,scheduled,13:15,73
268,1,1000000019,1006,20250925,call,scheduled,17:30,40
269,1,1000000008,1001,20250925,call,scheduled,12:15,27
270,1,1000000013,1005,20250929,lunch_meeting,scheduled,11:00,60
271,1,1000000010,1007,20250929,lunch_meeting,scheduled,12:00,64
272,1,1000000015,1006,20251002,call,scheduled,08:00,26
273,1,1000000020,1005,20251006,lunch_meeting,scheduled,11:30,73
274,1,1000000013,1001,20251006,call,scheduled,17:15,36
275,1,1000000006,1002,20251007,lunch_meeting,scheduled,12:30,75
276,1,1000000009,1006,20251013,lunch_meeting,scheduled,12:00,71
277,1,1000000008,1007,20251014,call,scheduled,15:00,19
278,1,1000000001,1006,20251015,lunch_meeting,scheduled,13:15,85
279,1,1000000015,1005,20251016,lunch_meeting,scheduled,13:30,64
280,1,1000000011,1003,20251017,lunch_meeting,scheduled,12:15,90
281,1,1000000011,1004,20251020,lunch_meeting,scheduled,13:00,70
282,1,1000000009,1006,20251021,lunch_meeting,scheduled,11:15,78
283,1,1000000006,1000,20251022,lunch_meeting,scheduled,13:00,74
284,1,1000000026,1004,20251022,call,scheduled,14:45,19
285,1,1000000010,1003,20251023,lunch_meeting,scheduled,13:00,82
286,1,1000000014,1006,20251023,call,scheduled,15:45,33
287,1,1000000018,1006,20251024,call,scheduled,13:00,18
288,1,1000000022,1005,20251028,call,scheduled,17:00,33
289,1,1000000021,1006,20251028,lunch_meeting,scheduled,12:00,60
290,1,1000000008,1003,20251030,lunch_meeting,scheduled,12:45,74
291,1,1000000001,1007,20251103,call,scheduled,12:45,44
292,1,1000000005,1005,20251106,lunch_meeting,scheduled,12:45,85
293,1,1000000007,1007,20251106,lunch_meeting,scheduled,12:00,74
294,1,1000000011,1001,20251107,lunch_meeting,scheduled,11:00,60
295,1,1000000021,1001,20251110,call,scheduled,11:15,32
296,1,1000000018,1006,20251112,lunch_meeting,scheduled,11:45,80
297,1,1000000022,1006,20251117,lunch_meeting,scheduled,11:15,74
298,1,1000000019,1006,20251117,lunch_meeting,scheduled,11:15,66
299,1,1000000025,1001,20251118,call,scheduled,16:15,26
300,1,1000000007,1007,20251119,call,scheduled,12:45,31
301,1,1000000011,1006,20251120,lunch_meeting,scheduled,13:00,71
302,1,1000000012,1007,20251120,call,scheduled,12:00,36
303,1,1000000004,1003,20251124,lunch_meeting,scheduled,11:15,71
304,1,1000000005,1006,20251125,lunch_meeting,scheduled,13:00,78
305,1,1000000013,1006,20251125,call,scheduled,15:15,32
306,1,1000000010,1002,20251127,call,scheduled,13:45,34
307,1,1000000001,1007,20251201,call,scheduled,11:45,45
308,1,1000000017,1007,20251202,lunch_meeting,scheduled,13:15,73
309,1,1000000023,1007,20251202,lunch_meeting,scheduled,11:00,78
310,1,1000000002,1004,20251205,call,scheduled,16:30,20
311,1,1000000019,1007,20251208,call,scheduled,17:00,23
312,1,1000000027,1005,20251209,call,scheduled,15:15,28
313,1,1000000004,1003,20251209,lunch_meeting,scheduled,11:45,68
314,1,1000000028,1001,20251210,lunch_meeting,scheduled,11:15,66
315,1,1000000019,1005,20251211,lunch_meeting,scheduled,11:15,85
316,1,1000000007,1003,20251211,call,scheduled,17:30,32
317,1,1000000020,1002,20251212,lunch_meeting,scheduled,13:15,69
318,1,1000000009,1001,20251215,call,scheduled,14:00,23
319,1,1000000028,1002,20251215,call,scheduled,11:15,37
320,1,1000000027,1003,20251216,lunch_meeting,scheduled,12:15,78
321,1,1000000009,1006,20251217,lunch_meeting,scheduled,12:00,80
322,1,1000000026,1001,20251217,lunch_meeting,scheduled,13:30,68
323,1,1000000030,1005,20251218,lunch_meeting,scheduled,12:30,78
324,1,1000000001,1001,20251218,lunch_meeting,scheduled,13:30,82
325,1,1000000028,1001,20251219,lunch_meeting,scheduled,11:45,86
326,1,1000000009,1005,20251223,lunch_meeting,scheduled,12:15,78
327,1,1000000026,1005,20251224,call,scheduled,08:00,35
328,1,1000000001,1001,20251225,call,scheduled,15:45,15
329,1,1000000007,1002,20251226,lunch_meeting,scheduled,11:30,62
330,1,1000000012,1004,20251229,call,scheduled,13:15,16
331,1,1000000013,1004,20251229,call,scheduled,14:00,37
332,2,1000000003,1002,20240802,call,completed,15:00,15
333,2,1000000011,1001,20240805,lunch_meeting,completed,12:00,67
334,2,1000000013,1001,20240805,call,completed,13:30,19
335,2,1000000025,1002,20240806,call,completed,17:00,34
336,2,1000000006,1007,20240807,lunch_meeting,completed,13:30,64
337,2,1000000030,1006,20240807,lunch_meeting,cancelled,11:00,64
338,2,1000000012,1006,20240809,lunch_meeting,completed,11:30,80
339,2,1000000020,1004,20240814,call,completed,12:15,31
340,2,1000000020,1003,20240814,lunch_meeting,completed,11:15,75
341,2,1000000004,1003,20240815,lunch_meeting,completed,11:00,71
342,2,1000000005,1006,20240816,lunch_meeting,completed,13:00,84
343,2,1000000025,1001,20240819,call,completed,08:30,21
344,2,1000000017,1004,20240822,lunch_meeting,completed,12:00,80
345,2,1000000003,1004,20240826,call,completed,11:15,32
346,2,1000000013,1001,20240827,lunch_meeting,completed,13:00,61
347,2,1000000004,1007,20240830,call,completed,10:00,15
348,2,1000000005,1000,20240902,call,completed,13:30,20
349,2,1000000012,1002,20240902,lunch_meeting,completed,11:00,70
350,2,1000000009,1001,20240903,lunch_meeting,completed,13:30,62
351,2,1000000015,1005,20240904,call,completed,17:15,26
352,2,1000000025,1001,20240906,call,completed,16:00,16
353,2,1000000012,1006,20240912,call,completed,08:45,22
354,2,1000000008,1006,20240913,lunch_meeting,completed,11:30,63
355,2,1000000022,1000,20240916,call,completed,16:00,45
356,2,1000000013,1001,20240916,lunch_meeting,cancelled,12:30,62
357,2,1000000015,1000,20240917,lunch_meeting,completed,13:15,83
358,2,1000000020,1003,20240917,lunch_meeting,completed,12:15,83
359,2,1000000025,1003,20240918,call,completed,14:00,22
360,2,1000000018,1005,20240918,call,cancelled,08:45,42
361,2,1000000024,1004,20240919,call,completed,11:45,30
362,2,1000000002,1002,20240919,lunch_meeting,completed,11:45,82
363,2,1000000015,1001,20240920,call,completed,14:00,33
364,2,1000000002,1006,20240923,call,completed,12:30,44
365,2,1000000026,1006,20240923,lunch_meeting,completed,12:15,62
366,2,1000000004,1002,20240926,call,completed,15:30,28
367,2,1000000004,1005,20240926,call,completed,15:30,42
368,2,1000000010,1000,20241002,call,completed,13:15,17
369,2,1000000023,1003,20241002,lunch_meeting,completed,11:30,68
370,2,1000000028,1007,20241007,call,completed,09:15,18
371,2,1000000012,1001,20241015,lunch_meeting,cancelled,11:00,62
372,2,1000000015,1002,20241017,call,cancelled,13:00,16
373,2,1000000015,1000,20241017,call,cancelled,14:45,30
374,2,1000000022,1006,20241021,call,completed,10:30,23
375,2,1000000029,1002,20241022,call,completed,17:15,35
376,2,1000000016,1006,20241023,lunch_meeting,completed,12:45,64
377,2,1000000007,1003,20241024,call,cancelled,13:45,32
378,2,1000000012,1005,20241025,lunch_meeting,completed,11:30,79
379,2,1000000002,1007,20241030,lunch_meeting,completed,11:15,63
380,2,1000000018,1000,20241104,call,completed,14:30,44
381,2,1000000026,1005,20241108,call,completed,13:15,33
382,2,1000000018,1004,20241112,call,completed,09:00,22
383,2,1000000008,1000,20241113,lunch_meeting,completed,13:00,85
384,2,1000000005,1005,20241113,call,cancelled,13:00,15
385,2,1000000028,1005,20241119,call,completed,14:00,25
386,2,1000000010,1005,20241119,call,cancelled,14:45,35
387,2,1000000006,1005,20241120,call,completed,10:45,24
388,2,1000000023,1004,20241121,call,completed,08:45,42
389,2,1000000025,1000,20241121,call,completed,17:15,35
390,2,1000000005,1005,20241125,call,completed,13:15,35
391,2,1000000022,1005,20241127,lunch_meeting,completed,11:15,82
392,2,1000000003,1005,20241127,lunch_meeting,completed,13:00,61
393,2,1000000015,1006,20241128,call,cancelled,15:45,26
394,2,1000000004,1007,20241129,call,completed,09:00,24
395,2,1000000009,1001,20241203,call,completed,14:15,38
396,2,1000000029,1001,20241205,lunch_meeting,completed,13:15,82
397,2,1000000001,1006,20241205,call,completed,14:15,16
398,2,1000000007,1003,20241209,lunch_meeting,completed,13:30,77
399,2,1000000022,1004,20241210,lunch_meeting,completed,11:45,78
400,2,1000000027,1007,20241211,call,completed,08:45,17
401,2,1000000010,1007,20241211,call,completed,11:15,35
402,2,1000000003,1007,20241212,call,completed,14:45,30
403,2,1000000003,1006,20241213,call,completed,14:30,20
404,2,1000000002,1004,20241216,lunch_meeting,completed,11:30,78
405,2,1000000022,1001,20241219,call,completed,16:45,39
406,2,1000000019,1003,20241219,call,completed,16:45,45
407,2,1000000019,1003,20241220,lunch_meeting,completed,12:00,76
408,2,1000000029,1002,20241223,call,cancelled,15:15,45
409,2,1000000006,1003,20241223,call,completed,14:00,36
410,2,1000000007,1002,20241224,lunch_meeting,completed,13:00,62
411,2,1000000018,1006,20241225,lunch_meeting,cancelled,13:15,89
412,2,1000000004,1006,20241227,call,completed,17:00,44
413,2,1000000025,1001,20241231,lunch_meeting,cancelled,12:45,68
414,2,1000000013,1007,20241231,lunch_meeting,completed,12:45,64
415,2,1000000020,1006,20250101,call,completed,13:15,16
416,2,1000000024,1007,20250101,lunch_meeting,cancelled,11:30,86
417,2,1000000010,1004,20250102,lunch_meeting,cancelled,13:00,87
418,2,1000000024,1007,20250107,lunch_meeting,completed,12:00,66
419,2,1000000007,1006,20250108,lunch_meeting,completed,12:00,76
420,2,1000000023,1006,20250113,call,completed,16:00,20
421,2,1000000002,1005,20250121,call,completed,15:45,35
422,2,1000000001,1003,20250123,lunch_meeting,completed,12:15,90
423,2,1000000028,1007,20250123,lunch_meeting,completed,12:00,69
424,2,1000000002,1002,20250127,call,cancelled,11:15,23
425,2,1000000014,1000,20250128,call,completed,10:15,34
426,2,1000000026,1000,20250128,call,completed,12:30,28
427,2,1000000028,1005,20250129,lunch_meeting,completed,12:30,81
428,2,1000000027,1006,20250130,call,completed,13:30,24
429,2,1000000022,1001,20250130,lunch_meeting,completed,12:30,87
430,2,1000000009,1004,20250131,call,completed,11:00,40
431,2,1000000013,1005,20250203,call,completed,15:30,23
432,2,1000000030,1006,20250203,lunch_meeting,completed,11:15,70
433,2,1000000023,1003,20250204,lunch_meeting,cancelled,13:15,76
434,2,1000000010,1002,20250204,call,completed,15:15,38
435,2,1000000024,1002,20250205,lunch_meeting,completed,11:30,67
436,2,1000000028,1004,20250206,lunch_meeting,completed,12:30,68
437,2,1000000019,1004,20250206,lunch_meeting,cancelled,12:00,87
438,2,1000000029,1003,20250210,call,cancelled,14:30,28
439,2,1000000014,1007,20250217,call,completed,10:00,30
440,2,1000000021,1002,20250218,lunch_meeting,completed,11:45,68
441,2,1000000026,1001,20250224,call,completed,14:45,28
442,2,1000000013,1000,20250225,call,completed,13:00,43
443,2,1000000025,1003,20250226,call,completed,11:15,37
444,2,1000000010,1002,20250227,call,completed,17:30,20
445,2,1000000010,1007,20250304,lunch_meeting,completed,13:00,70
446,2,1000000012,1003,20250305,call,cancelled,14:00,22
447,2,1000000001,1002,20250311,call,completed,08:45,43
448,2,1000000021,1004,20250311,call,completed,08:00,35
449,2,1000000015,1006,20250317,call,completed,15:15,21
450,2,1000000022,1000,20250318,lunch_meeting,completed,11:30,79
451,2,1000000020,1002,20250318,lunch_meeting,completed,11:00,69
452,2,1000000007,1003,20250321,lunch_meeting,completed,11:30,82
